,Diabetes_binary
Diabetes_binary,1.0
GenHlth,0.29356906307871694
HighBP,0.26312878992336486
DiffWalk,0.21834435192101748
BMI,0.2168430602031178
HighChol,0.2002761918791174
Age,0.17744187216726118
HeartDiseaseorAttack,0.17728225780720458
PhysHlth,0.17133670038725582
Stroke,0.10581606726811531
MentHlth,0.06931508263835472
CholCheck,0.06476081015893598
Smoker,0.060788505640342196
NoDocbcCost,0.03143276335925908
Sex,0.03142999802068148
AnyHealthcare,0.01625513954586565
Fruits,-0.040779228104065826
Veggies,-0.05658413706416157
HvyAlcoholConsump,-0.057056256121681956
PhysActivity,-0.11813311489591297
Education,-0.12445596921587979
Income,-0.16391878680098979
